level,string,length,n_leave_node,n_ending,n
1,"的五言律",4,2,2,2
1,"的委屈",3,8,8,8
1,"的骂了",3,2,2,2
1,"的顽意",3,2,3,4
2,"的顽意儿",4,2,2,2
1,"的雨水",3,6,6,6
1,"的瞅着",3,5,5,5
1,"的牌坊",3,2,2,2
1,"的比我",3,2,2,2
1,"的更奇",3,2,2,2
1,"的更多",3,2,2,2
1,"的文章",3,5,5,5
1,"的文书",3,2,2,2
1,"的教训",3,2,2,2
1,"的收拾",3,3,3,3
1,"的喜欢",3,3,3,3
1,"的发送",3,2,2,2
1,"的十分",3,2,3,4
2,"的十分精",4,2,2,2
1,"的十二个",4,2,2,2
1,"的魂魄",3,2,2,2
1,"的阴灵",3,2,2,2
1,"的阴人",3,2,2,2
1,"的赶着",3,2,2,2
1,"的赶了",3,2,2,2
1,"的薛蟠",3,3,3,3
1,"的薛姨妈",4,2,2,2
1,"的罪名",3,3,3,3
1,"的罪孽",3,2,2,2
1,"的细细",3,2,2,2
1,"的热闹",3,4,4,4
1,"的烦难",3,2,2,2
1,"的烦恼",3,2,2,2
1,"的淘气",3,5,5,5
1,"的替他",3,2,2,2
1,"的指示",3,2,2,2
1,"的指甲",3,2,2,2
1,"的忘八",3,4,5,6
2,"的忘八羔子",5,2,2,2
1,"的平姑娘",4,3,3,3
1,"的平儿",3,3,3,3
1,"的差使",3,2,2,2
1,"的差役",3,2,2,2
1,"的差事",3,2,2,2
1,"的实在",3,4,4,4
1,"的孙子",3,3,3,3
1,"的孙女",3,3,3,3
1,"的哄他",3,3,3,3
1,"的动了",3,3,3,3
1,"的前程",3,2,2,2
1,"的前日",3,2,2,2
1,"的先生",3,2,2,2
1,"的首尾",3,3,3,3
1,"的跟前",3,4,4,4
1,"的谢礼",3,3,3,3
1,"的谢你",3,2,2,2
1,"的调度",3,2,2,2
1,"的请了",3,2,2,2
1,"的胭脂",3,5,5,5
1,"的胡说",3,2,2,2
1,"的精神",3,3,3,3
1,"的种子",3,5,5,5
1,"的火来",3,2,2,2
1,"的火星",3,2,2,2
1,"的浑名",3,2,2,2
1,"的景况",3,3,3,3
1,"的抱怨",3,3,3,3
1,"的孽障",3,5,5,5
1,"的姨太太",4,2,2,2
1,"的姨妈",3,2,2,2
1,"的各处",3,3,3,3
1,"的却好",3,3,3,3
1,"的包袱",3,3,3,3
1,"的办一办",4,2,2,2
1,"的供给",3,3,3,3
1,"的丧事",3,4,4,4
1,"的铺盖",3,3,3,3
1,"的越发",3,3,3,3
1,"的贼么",3,2,2,2
1,"的费用",3,3,3,3
1,"的许多",3,3,3,3
1,"的罚一杯",4,3,3,3
1,"的管家",3,3,3,3
1,"的笔墨",3,2,2,2
1,"的竟不",3,2,2,2
1,"的短发",3,2,2,2
1,"的相公",3,2,2,2
1,"的牛黄",3,2,2,2
1,"的照应",3,3,3,3
1,"的照看",3,2,2,2
1,"的滚下泪来",5,2,2,2
1,"的滚热的",4,2,2,2
1,"的汗巾",3,3,3,3
1,"的晚饭",3,3,3,3
1,"的明白",3,4,4,4
1,"的折枝",3,2,2,2
1,"的所在",3,4,4,4
1,"的成了",3,1,2,3
2,"的成了个",4,2,2,2
1,"的影儿",3,2,2,2
1,"的妆扮",3,2,2,2
1,"的喝一",3,1,2,3
2,"的喝一杯",4,2,2,2
1,"的似乎",3,2,2,2
1,"的七言",3,2,2,2
1,"的运气好",4,2,2,2
1,"的馀德",3,2,2,2
1,"的题目",3,3,3,3
1,"的野鸡",3,3,3,3
1,"的重孙",3,3,3,3
1,"的讲究",3,2,2,2
1,"的膏药",3,3,3,3
1,"的背后",3,2,2,2
1,"的痴心",3,2,2,2
1,"的猴儿",3,3,3,3
1,"的物儿",3,2,2,2
1,"的爱妾",3,2,2,2
1,"的点点头儿",5,2,2,2
